"",".model","DATE","Cash",".mean"
"1","ARIMA(box_cox(Cash, lambda1))",2010-05-01,t(N(10, 3.1)),90.8461571778887
"2","ARIMA(box_cox(Cash, lambda1))",2010-05-02,t(N(11, 3.1)),105.095776613377
"3","ARIMA(box_cox(Cash, lambda1))",2010-05-03,t(N(9.8, 3.1)),77.8286621319614
"4","ARIMA(box_cox(Cash, lambda1))",2010-05-04,t(N(1.9, 3.1)),5.94701246775182
"5","ARIMA(box_cox(Cash, lambda1))",2010-05-05,t(N(11, 3.1)),104.674491386946
"6","ARIMA(box_cox(Cash, lambda1))",2010-05-06,t(N(10, 3.1)),83.5534475038729
"7","ARIMA(box_cox(Cash, lambda1))",2010-05-07,t(N(10, 3.1)),89.9957701923815
"8","ARIMA(box_cox(Cash, lambda1))",2010-05-08,t(N(11, 3.5)),91.9958695801488
"9","ARIMA(box_cox(Cash, lambda1))",2010-05-09,t(N(11, 3.5)),105.531280078855
"10","ARIMA(box_cox(Cash, lambda1))",2010-05-10,t(N(9.8, 3.5)),78.3513505553016
"11","ARIMA(box_cox(Cash, lambda1))",2010-05-11,t(N(1.9, 3.5)),6.15847848682197
"12","ARIMA(box_cox(Cash, lambda1))",2010-05-12,t(N(11, 3.5)),105.250730069982
"13","ARIMA(box_cox(Cash, lambda1))",2010-05-13,t(N(10, 3.5)),84.0885219851948
"14","ARIMA(box_cox(Cash, lambda1))",2010-05-14,t(N(10, 3.5)),90.5440980166417
"15","ARIMA(box_cox(Cash, lambda1))",2010-05-15,t(N(11, 3.9)),92.54711287498
"16","ARIMA(box_cox(Cash, lambda1))",2010-05-16,t(N(11, 3.9)),106.108036807519
"17","ARIMA(box_cox(Cash, lambda1))",2010-05-17,t(N(9.8, 3.9)),78.8740389786418
"18","ARIMA(box_cox(Cash, lambda1))",2010-05-18,t(N(1.9, 3.9)),6.36994450589211
"19","ARIMA(box_cox(Cash, lambda1))",2010-05-19,t(N(11, 3.9)),105.826968753019
"20","ARIMA(box_cox(Cash, lambda1))",2010-05-20,t(N(10, 3.9)),84.6235964665167
"21","ARIMA(box_cox(Cash, lambda1))",2010-05-21,t(N(10, 3.9)),91.0924258409019
"22","ARIMA(box_cox(Cash, lambda1))",2010-05-22,t(N(11, 4.3)),93.0983561698113
"23","ARIMA(box_cox(Cash, lambda1))",2010-05-23,t(N(11, 4.3)),106.684793536182
"24","ARIMA(box_cox(Cash, lambda1))",2010-05-24,t(N(9.8, 4.3)),79.396727401982
"25","ARIMA(box_cox(Cash, lambda1))",2010-05-25,t(N(1.9, 4.3)),6.58141052496225
"26","ARIMA(box_cox(Cash, lambda1))",2010-05-26,t(N(11, 4.3)),106.403207436056
"27","ARIMA(box_cox(Cash, lambda1))",2010-05-27,t(N(10, 4.3)),85.1586709478385
"28","ARIMA(box_cox(Cash, lambda1))",2010-05-28,t(N(10, 4.3)),91.6407536651621
"29","ARIMA(box_cox(Cash, lambda1))",2010-05-29,t(N(11, 4.7)),93.6495994646426
"30","ARIMA(box_cox(Cash, lambda1))",2010-05-30,t(N(11, 4.7)),107.261550264845
"31","ARIMA(box_cox(Cash, lambda1))",2010-05-31,t(N(9.8, 4.7)),79.9194158253223
