"",".model","DATE","Cash",".mean"
"1","ARIMA(box_cox(Cash, lambda4))",2010-05-01,t(N(20, 107)),313.644474613746
"2","ARIMA(box_cox(Cash, lambda4))",2010-05-02,t(N(24, 107)),438.794403011383
"3","ARIMA(box_cox(Cash, lambda4))",2010-05-03,t(N(26, 107)),516.981619317677
"4","ARIMA(box_cox(Cash, lambda4))",2010-05-04,t(N(16, 107)),229.694843410211
"5","ARIMA(box_cox(Cash, lambda4))",2010-05-05,t(N(25, 107)),478.91376043643
"6","ARIMA(box_cox(Cash, lambda4))",2010-05-06,t(N(21, 107)),345.833178273565
"7","ARIMA(box_cox(Cash, lambda4))",2010-05-07,t(N(23, 107)),418.943005648904
"8","ARIMA(box_cox(Cash, lambda4))",2010-05-08,t(N(18, 112)),285.701670951807
"9","ARIMA(box_cox(Cash, lambda4))",2010-05-09,t(N(25, 112)),479.430148099002
"10","ARIMA(box_cox(Cash, lambda4))",2010-05-10,t(N(24, 112)),470.02198593346
"11","ARIMA(box_cox(Cash, lambda4))",2010-05-11,t(N(18, 112)),278.563070508426
"12","ARIMA(box_cox(Cash, lambda4))",2010-05-12,t(N(24, 112)),450.754488579982
"13","ARIMA(box_cox(Cash, lambda4))",2010-05-13,t(N(20, 112)),328.338588501695
"14","ARIMA(box_cox(Cash, lambda4))",2010-05-14,t(N(24, 112)),464.259857041618
"15","ARIMA(box_cox(Cash, lambda4))",2010-05-15,t(N(22, 119)),382.817417183108
"16","ARIMA(box_cox(Cash, lambda4))",2010-05-16,t(N(24, 119)),454.57503697847
"17","ARIMA(box_cox(Cash, lambda4))",2010-05-17,t(N(24, 119)),468.108604874273
"18","ARIMA(box_cox(Cash, lambda4))",2010-05-18,t(N(21, 119)),359.641760982654
"19","ARIMA(box_cox(Cash, lambda4))",2010-05-19,t(N(24, 119)),456.640933870877
"20","ARIMA(box_cox(Cash, lambda4))",2010-05-20,t(N(22, 119)),400.846152424132
"21","ARIMA(box_cox(Cash, lambda4))",2010-05-21,t(N(24, 119)),447.274649138664
"22","ARIMA(box_cox(Cash, lambda4))",2010-05-22,t(N(22, 120)),397.669018964861
"23","ARIMA(box_cox(Cash, lambda4))",2010-05-23,t(N(24, 120)),456.272666354593
"24","ARIMA(box_cox(Cash, lambda4))",2010-05-24,t(N(24, 120)),457.289172502856
"25","ARIMA(box_cox(Cash, lambda4))",2010-05-25,t(N(22, 120)),390.648037396656
"26","ARIMA(box_cox(Cash, lambda4))",2010-05-26,t(N(24, 120)),450.977330391074
"27","ARIMA(box_cox(Cash, lambda4))",2010-05-27,t(N(23, 120)),412.13151128868
"28","ARIMA(box_cox(Cash, lambda4))",2010-05-28,t(N(24, 120)),451.693884744561
"29","ARIMA(box_cox(Cash, lambda4))",2010-05-29,t(N(23, 121)),422.836044508218
"30","ARIMA(box_cox(Cash, lambda4))",2010-05-30,t(N(24, 121)),450.73314515128
"31","ARIMA(box_cox(Cash, lambda4))",2010-05-31,t(N(24, 121)),453.680612784578
